model,model_key,checkpoint,checkpoint_type,dense_bytes,checkpoint_bytes,dense_gib,checkpoint_gib,file_size_ratio,path,note
MaxViT Tiny,maxvit_tiny,cutlass_nvfp4_runtime,real_packed_checkpoint,123917994,31337203,0.115,0.029,3.954,artifacts/checkpoints/maxvit_tiny/cutlass_nvfp4_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Tiny,maxvit_tiny,cutlass_sparse_bf16_runtime,real_packed_checkpoint,123917994,43378515,0.115,0.040,2.857,artifacts/checkpoints/maxvit_tiny/cutlass_sparse_bf16_runtime/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Tiny,maxvit_tiny,cutlass_sparse_nvfp4_storage,real_packed_checkpoint,123917994,28015443,0.115,0.026,4.423,artifacts/checkpoints/maxvit_tiny/cutlass_sparse_nvfp4_storage/model.pt,Real packed/runtime/storage checkpoint; file-size ratio is meaningful.
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_semi_structured_sparse,fake_dense_state_dict,123917994,124081715,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_semi_structured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_semi_structured_sparse_seed1,fake_dense_state_dict,123917994,124081779,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_semi_structured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_semi_structured_sparse_seed2,fake_dense_state_dict,123917994,124081779,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_semi_structured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_semi_structured_sparse_seed3,fake_dense_state_dict,123917994,124081779,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_semi_structured_sparse_seed3/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_unstructured_sparse,fake_dense_state_dict,123917994,124080627,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_unstructured_sparse/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_unstructured_sparse_seed1,fake_dense_state_dict,123917994,124080691,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_unstructured_sparse_seed1/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
MaxViT Tiny,maxvit_tiny,nvfp4_4over6_unstructured_sparse_seed2,fake_dense_state_dict,123917994,124080691,0.115,0.116,0.999,artifacts/checkpoints/maxvit_tiny/nvfp4_4over6_unstructured_sparse_seed2/model.pt,Rescale fake-quant checkpoint stores dense tensors; not a real storage-compressed checkpoint.
